,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,PlayerID,Rookie_Season,Rookie_rOBA
0,1987,20,-0.9,Medford,NORW,A-,OAK,65,289,255,34,73,18,1,3,49,5,2,26,36,.286,.344,.400,.744,102,,0,1,7,0,brosisc01,1992.0,0.322
1,1988,21,-0.8,Madison,MIDW,A,OAK,132,571,504,82,153,28,2,9,58,13,12,56,67,.304,.374,.421,.795,212,,3,4,4,1,brosisc01,1992.0,0.322
2,1989,22,-1.3,Huntsville,SOUL,AA,OAK,128,536,461,68,125,22,2,7,60,4,6,58,62,.271,.355,.373,.728,172,,5,6,6,3,brosisc01,1992.0,0.322
4,1990,23,-2.9,Tacoma,PCL,AAA,OAK,3,8,7,2,1,0,1,0,0,0,0,1,3,.143,.250,.429,.679,3,,0,0,0,0,brosisc01,1992.0,0.322
5,1990,23,-0.5,Huntsville,SOUL,AA,OAK,142,645,547,94,162,39,2,23,88,12,3,81,81,.296,.382,.501,.883,274,,1,7,9,2,brosisc01,1992.0,0.322
6,1991,24,-1.8,Tacoma,PCL,AAA,OAK,65,268,245,28,70,16,3,8,31,4,2,18,29,.286,.337,.473,.811,116,7,2,1,2,0,brosisc01,1992.0,0.322
0,1981,18,-2.2,Billings,PION,Rk,CIN,66,266,241,37,76,7,2,3,29,6,3,21,35,.315,.367,.398,.766,96,,0,2,2,2,o'neipa01,1987.0,0.354
1,1982,19,-2.6,Cedar Rapids,MIDW,A,CIN,116,412,386,50,105,19,2,8,71,12,5,21,79,.272,.308,.394,.702,152,,1,0,4,0,o'neipa01,1987.0,0.354
3,1983,20,-3.0,Waterbury,EL,AA,CIN,14,49,43,6,12,0,0,0,6,2,1,6,8,.279,.367,.279,.646,12,,0,0,0,0,o'neipa01,1987.0,0.354
4,1983,20,-2.0,Tampa,FLOR,A,CIN,121,472,413,62,115,23,7,8,51,20,5,56,70,.278,.363,.426,.789,176,,0,1,2,7,o'neipa01,1987.0,0.354
5,1984,21,-2.1,Vermont,EL,AA,CIN,134,536,475,70,126,31,5,16,76,29,11,52,72,.265,.336,.453,.788,215,,2,0,7,6,o'neipa01,1987.0,0.354
6,1985,22,-4.0,Denver,AA,AAA,CIN,137,545,509,63,155,32,3,7,74,5,7,28,73,.305,.338,.420,.759,214,,1,1,6,4,o'neipa01,1987.0,0.354
8,1986,23,-3.0,Denver,AA,AAA,CIN,55,206,193,20,49,9,2,5,27,1,1,9,28,.254,.291,.399,.690,77,,2,0,2,3,o'neipa01,1987.0,0.354
0,1990,20,0.5,Elizabethton,APPY,Rk,MIN,54,250,201,45,59,6,2,6,30,14,4,40,26,.294,.422,.433,.855,87,,6,1,2,1,hockide01,1996.0,0.239
1,1991,21,-0.4,Kenosha,MIDW,A,MIN,125,522,432,72,110,17,8,2,36,22,10,77,69,.255,.372,.345,.717,149,6,6,3,4,4,hockide01,1996.0,0.239
2,1992,22,-0.5,Visalia,CALL,A+,MIN,135,634,550,117,182,34,9,7,81,38,18,72,77,.331,.415,.464,.878,255,7,8,2,2,1,hockide01,1996.0,0.239
3,1993,23,-0.6,Nashville,SOUL,AA,MIN,107,452,409,54,109,9,4,8,50,15,5,34,66,.267,.327,.367,.694,150,12,4,3,2,0,hockide01,1996.0,0.239
5,1994,24,-2.2,Salt Lake,PCL,AAA,MIN,112,433,394,61,110,14,6,5,57,13,7,28,57,.279,.327,.383,.710,151,6,2,5,4,1,hockide01,1996.0,0.239
7,1995,25,-1.5,Salt Lake,PCL,AAA,MIN,117,437,397,51,112,24,2,8,75,12,8,25,41,.282,.324,.413,.737,164,10,2,8,5,1,hockide01,1996.0,0.239
0,1985,18,-2.6,Elmira,NYPL,A-,BOS,39,134,119,7,16,1,1,0,5,0,1,10,27,.134,.206,.160,.366,19,,1,3,1,0,prattto02,1993.0,0.382
1,1986,19,-2.0,Greensboro,SALL,A,BOS,107,435,348,63,84,16,0,12,56,0,1,74,114,.241,.378,.391,.769,136,,5,4,4,0,prattto02,1993.0,0.382
2,1987,20,-2.2,Winter Haven,FLOR,A,BOS,118,484,407,57,105,22,0,12,65,0,1,70,94,.258,.364,.400,.764,163,,1,0,6,4,prattto02,1993.0,0.382
3,1988,21,-2.8,New Britain,EL,AA,BOS,124,446,395,41,89,15,2,8,49,1,4,41,110,.225,.299,.334,.633,132,,3,1,6,2,prattto02,1993.0,0.382
4,1989,22,-1.5,New Britain,EL,AA,BOS,109,395,338,30,77,17,1,2,35,1,2,44,66,.228,.325,.302,.627,102,,7,1,5,1,prattto02,1993.0,0.382
5,1990,23,-0.6,New Britain,EL,AA,BOS,70,218,195,15,45,14,1,2,22,0,1,18,56,.231,.293,.344,.637,67,,0,3,2,0,prattto02,1993.0,0.382
6,1991,24,-1.9,Pawtucket,IL,AAA,BOS,68,250,219,27,64,16,0,11,41,0,3,23,42,.292,.367,.516,.883,113,9,3,5,0,2,prattto02,1993.0,0.382
8,1992,25,-1.0,Scranton/Wilkes-Barre,IL,AAA,PHI,41,158,125,20,40,9,1,7,28,1,0,30,14,.320,.446,.576,1.022,72,5,0,1,2,0,prattto02,1993.0,0.382
9,1992,25,1.3,Reading,EL,AA,PHI,41,156,132,20,44,6,1,6,26,2,0,24,28,.333,.436,.530,.966,70,1,0,0,0,0,prattto02,1993.0,0.382
0,1987,21,0.1,Gastonia,SALL,A,TEX,61,256,235,35,72,13,1,8,33,1,2,19,46,.306,.359,.472,.832,111,,1,0,1,0,haselbi01,1993.0,0.341
1,1988,22,-0.1,Port Charlotte,FLOR,A,TEX,122,504,453,56,111,17,2,10,54,8,5,45,99,.245,.316,.358,.674,162,10,3,1,2,3,haselbi01,1993.0,0.341
2,1989,23,-0.7,Tulsa,TL,AA,TEX,107,398,352,38,95,17,2,7,36,5,10,40,88,.270,.348,.389,.737,137,,3,1,2,0,haselbi01,1993.0,0.341
3,1990,24,0.1,Tulsa,TL,AA,TEX,120,485,430,68,137,39,2,18,80,3,7,44,96,.319,.387,.544,.931,234,,6,2,3,1,haselbi01,1993.0,0.341
5,1991,25,-1.5,Oklahoma City,AA,AAA,TEX,126,509,442,57,113,22,2,9,60,10,7,61,89,.256,.344,.376,.720,166,14,1,1,4,1,haselbi01,1993.0,0.341
7,1992,26,-0.5,Calgary,PCL,AAA,SEA,88,349,302,49,77,14,2,19,53,3,3,41,89,.255,.345,.503,.848,152,9,2,1,3,4,haselbi01,1993.0,0.341
8,1992,26,-0.8,Oklahoma City,AA,AAA,TEX,17,71,58,8,14,5,0,1,9,1,0,13,12,.241,.380,.379,.760,22,2,0,0,0,0,haselbi01,1993.0,0.341
0,1994,18,-0.8,Astros,GULF,Rk,HOU,37,142,123,17,34,7,0,3,14,5,5,17,14,.276,.373,.407,.780,50,4,2,0,0,1,castrra01,2000.0,0.276
2,1995,19,-3.3,Kissimmee,FLOR,A+,HOU,36,128,120,6,25,5,0,0,8,0,0,6,21,.208,.250,.250,.500,30,1,1,0,1,0,castrra01,2000.0,0.276
3,1995,19,-2.1,Auburn,NYPL,A-,HOU,63,254,224,40,67,17,0,9,49,0,1,24,27,.299,.358,.496,.854,111,6,0,0,6,0,castrra01,2000.0,0.276
4,1996,20,-1.6,Quad Cities,MIDW,A,HOU,96,350,314,38,78,15,0,7,43,2,0,31,61,.248,.317,.363,.680,114,12,2,0,3,1,castrra01,2000.0,0.276
5,1997,21,-1.6,Kissimmee,FLOR,A+,HOU,115,476,410,53,115,22,1,8,65,1,0,53,73,.280,.357,.398,.755,163,17,2,0,11,3,castrra01,2000.0,0.276
7,1998,22,-2.1,Jackson,TL,AA,HOU,48,185,168,27,43,6,0,8,25,0,1,13,31,.256,.324,.435,.759,73,3,4,0,0,2,castrra01,2000.0,0.276
8,1998,22,-1.8,Portland,EL,AA,FLA,31,98,88,9,22,3,0,3,11,0,0,8,21,.250,.306,.386,.692,34,3,0,0,2,0,castrra01,2000.0,0.276
9,1999,23,-3.9,Calgary,PCL,AAA,FLA,97,378,349,43,90,22,0,15,61,0,0,24,64,.258,.307,.450,.757,157,11,2,0,3,3,castrra01,2000.0,0.276
0,1991,18,-1.7,Princeton,APPY,Rk,CIN,62,256,231,30,55,8,3,3,27,10,8,23,44,.238,.305,.338,.642,78,4,0,0,2,0,reesepo01,1997.0,0.275
1,1992,19,-2.2,Charleston WV,SALL,A,CIN,106,420,380,50,102,19,3,6,53,19,8,24,75,.268,.315,.382,.696,145,2,5,4,7,0,reesepo01,1997.0,0.275
2,1993,20,-3.6,Chattanooga,SOUL,AA,CIN,102,379,345,35,73,17,4,3,37,8,5,23,77,.212,.258,.310,.568,107,2,1,3,7,1,reesepo01,1997.0,0.275
3,1994,21,-2.9,Chattanooga,SOUL,AA,CIN,134,541,484,77,130,23,4,12,49,21,4,43,75,.269,.336,.407,.743,197,6,7,6,1,1,reesepo01,1997.0,0.275
4,1995,22,-5.0,Indianapolis,AA,AAA,CIN,89,387,343,51,82,21,1,10,46,8,5,36,81,.239,.316,.394,.710,135,3,4,1,3,0,reesepo01,1997.0,0.275
5,1996,23,-3.3,Indianapolis,AA,AAA,CIN,79,313,280,26,65,16,0,1,23,5,2,21,46,.232,.294,.300,.594,84,10,5,4,3,0,reesepo01,1997.0,0.275
0,1981,17,-2.7,Yankees,GULF,Rk,NYY,29,94,81,6,12,2,0,0,9,0,0,11,20,.148,.255,.173,.428,14,,1,0,1,0,mcgrifr01,1987.0,0.38
1,1982,18,-1.9,Yankees,GULF,Rk,NYY,62,272,217,38,59,11,1,9,41,6,6,48,63,.272,.413,.456,.870,99,,5,1,1,2,mcgrifr01,1987.0,0.38
3,1983,19,-2.8,Kinston,CARL,A,TOR,94,416,350,53,85,14,1,21,57,3,2,55,112,.243,.354,.469,.822,164,,6,3,2,2,mcgrifr01,1987.0,0.38
4,1983,19,-2.3,Florence,SALL,A,TOR,33,141,119,26,37,3,1,7,26,3,0,20,35,.311,.414,.529,.944,63,,1,1,0,4,mcgrifr01,1987.0,0.38
6,1984,20,-5.3,Syracuse,IL,AAA,TOR,70,266,238,28,56,10,1,13,28,0,1,26,89,.235,.309,.450,.759,107,,0,1,1,0,mcgrifr01,1987.0,0.38
7,1984,20,-3.9,Knoxville,SOUL,AA,TOR,56,222,189,29,47,13,2,9,25,0,2,29,55,.249,.347,.481,.828,91,,1,0,3,3,mcgrifr01,1987.0,0.38
8,1985,21,-4.7,Syracuse,IL,AAA,TOR,51,204,176,19,40,8,2,5,20,0,0,23,53,.227,.330,.381,.711,67,,4,1,0,0,mcgrifr01,1987.0,0.38
9,1986,22,-3.6,Syracuse,IL,AAA,TOR,133,563,468,69,121,23,4,19,74,0,3,83,119,.259,.369,.447,.816,209,,4,0,8,8,mcgrifr01,1987.0,0.38
0,1992,17,-3.8,Great Falls,PION,Rk,LAD,69,315,256,60,81,6,5,2,27,40,9,51,53,.316,.431,.402,.833,103,4,2,4,2,3,cedenro01,1996.0,0.314
2,1993,18,-8.0,Albuquerque,PCL,AAA,LAD,6,21,18,1,4,1,1,0,4,0,1,3,3,.222,.333,.389,.722,7,0,0,0,0,0,cedenro01,1996.0,0.314
3,1993,18,-5.7,San Antonio,TL,AA,LAD,122,516,465,70,134,12,8,4,30,28,20,45,90,.288,.352,.374,.726,174,5,1,4,1,2,cedenro01,1996.0,0.314
4,1994,19,-7.2,Albuquerque,PCL,AAA,LAD,104,444,383,84,123,18,5,4,49,30,13,51,57,.321,.395,.426,.820,163,4,0,3,7,0,cedenro01,1996.0,0.314
5,1995,20,-6.5,Albuquerque,PCL,AAA,LAD,99,429,367,67,112,19,9,2,44,23,18,53,56,.305,.393,.422,.815,155,5,2,4,3,2,cedenro01,1996.0,0.314
0,1993,18,-0.9,Marlins,GULF,Rk,FLA,31,120,109,13,21,2,2,0,7,5,0,7,28,.193,.252,.248,.500,27,2,2,1,1,0,dunwoto01,1998.0,0.311
2,1994,19,-2.7,Kane County,MIDW,A,FLA,15,51,45,7,5,0,0,1,1,1,0,5,17,.111,.200,.178,.378,8,1,0,1,0,0,dunwoto01,1998.0,0.311
3,1994,19,0.2,Marlins,GULF,Rk,FLA,46,196,169,32,44,6,6,1,25,11,3,21,28,.260,.354,.385,.738,65,1,4,1,1,1,dunwoto01,1998.0,0.311
